q1.result,q2-case2.result,q3.result,q4-v1-domestic.result,q4-v1-inter.result,q4-v2-domestic.result,q4-v2-inter.result,q5.result,q6.result,q7.result,q8.result,q8_v2_indexed.result,q9.result,q9_v2.result,q9_v3_join.result,q10.result,q10_v2_indexed.result,q11.result,q12.result
52.325,81.795,4.427,8.889,8.444,9.431,7.991,59.900,59.557,54.630,9525.488 ,57.312,1169.086 ,4761.856 ,13.655,50317.610 ,128738.749 ,678.088,9.427
52.452,80.666,4.598,9.187,9.285,8.616,8.410,62.072,57.063,55.238,10745.045 ,58.093,1282.280 ,4753.444 ,15.291,50583.331 ,128738.124 ,696.359,9.757
52.450,84.110,4.316,8.747,9.589,9.570,8.120,59.966,54.645,56.717,13469.045 ,57.909,1224.231 ,4898.594 ,13.848,50336.025 ,128297.168 ,691.760,10.067
53.501,81.412,4.151,9.847,8.485,8.061,8.475,60.618,55.411,58.306,12575.788 ,57.002,1170.614 ,4772.860 ,18.928,50187.737 ,129008.268 ,679.018,9.537
52.763,93.954,4.157,9.479,9.646,7.361,8.307,63.404,55.326,59.727,12175.798 ,57.752,1132.015 ,5092.476 ,15.116,50485.731 ,137436.853 ,682.735,9.438
54.280,84.713,4.214,8.823,10.103,8.055,8.121,57.571,56.685,55.538,12306.034 ,57.168,1132.008 ,4783.321 ,13.830,50432.375 ,147054.542 ,698.076,9.552
52.619,85.287,4.131,9.079,9.279,8.513,8.655,57.623,56.318,56.460,12313.415 ,59.863,1129.153 ,5517.758 ,13.937,50387.770 ,142336.877 ,665.852,9.474
52.987,86.777,4.254,8.824,9.160,7.812,8.018,56.025,60.434,57.846,12682.519 ,57.159,1102.543 ,5300.234 ,14.756,50603.241 ,145913.138 ,684.124,9.571
52.422,85.713,4.054,8.767,9.726,8.114,10.626,56.746,121.419,53.644,12466.633 ,56.258,1172.741 ,5241.160 ,14.534,51267.475 ,148945.734 ,708.894,15.006
52.610,89.033,4.221,9.524,9.806,7.601,9.458,58.740,65.097,57.450,11722.032 ,56.589,1091.593 ,5213.481 ,14.175,51262.474 ,143559.883 ,745.290,12.584
52.428,87.618,4.287,9.139,9.281,8.850,8.742,57.727,72.523,54.690,11675.391 ,56.110,1141.858 ,5377.046 ,13.885,51083.610 ,149656.689 ,773.137,10.346
52.402,89.072,4.647,8.644,8.742,8.137,8.653,60.444,61.087,55.019,12169.189 ,57.337,1136.318 ,5784.837 ,13.800,50752.000 ,146345.690 ,689.362,9.197
53.931,86.018,4.442,9.458,9.206,8.521,8.375,60.848,60.735,56.392,12396.465 ,57.269,1151.021 ,6463.653 ,13.758,50410.107 ,147640.878 ,681.254,10.225
52.045,81.851,4.542,8.874,8.769,8.277,8.509,62.171,63.134,56.735,12391.957 ,61.425,1103.670 ,5481.786 ,13.827,50362.657 ,146960.548 ,706.307,11.360
54.153,82.034,3.826,9.189,8.725,8.303,9.370,58.695,64.558,57.165,12556.123 ,59.889,1121.859 ,5291.838 ,13.663,50416.372 ,144175.110 ,694.644,9.434
52.665,79.624,4.525,8.652,8.851,8.039,8.256,57.112,61.100,119.374,11604.103 ,59.662,1149.946 ,6248.524 ,13.924,50230.908 ,143736.766 ,691.941,9.475
53.497,82.645,4.840,9.101,8.743,7.634,7.978,61.293,59.994,68.427,10613.201 ,60.796,1115.265 ,5600.517 ,14.224,55246.005 ,144637.330 ,683.611,9.541
53.020,81.390,5.039,9.050,9.350,7.592,8.441,63.323,58.380,82.903,10094.702 ,55.955,1111.996 ,5901.224 ,13.526,55700.166 ,145480.245 ,685.565,9.159
52.159,80.978,4.303,8.854,9.356,7.426,8.078,63.791,55.466,60.637,11761.648 ,56.944,1091.173 ,5925.692 ,14.496,55480.721 ,143536.220 ,719.553,9.996
52.120,86.107,4.633,9.081,9.277,8.201,7.953,60.957,55.294,57.846,10193.466 ,58.958,1087.715 ,5580.498 ,15.197,62861.318 ,142122.397 ,694.899,10.071
52.900,85.284,4.262,8.965,9.307,8.308,7.445,60.154,55.515,56.970,9790.345 ,58.547,1094.572 ,5438.935 ,14.241,52800.467 ,147668.012 ,718.240,9.908
52.918,85.663,4.249,9.045,9.628,8.488,7.494,64.024,56.020,55.546,9927.968 ,56.312,1102.526 ,5138.508 ,12.881,52043.175 ,140835.610 ,729.434,9.664
52.572,94.010,4.178,8.979,9.974,7.992,8.372,60.660,53.906,55.602,10246.455 ,57.232,1127.792 ,4993.183 ,14.072,50639.669 ,142887.334 ,738.914,10.029
52.328,90.103,4.576,8.678,9.534,9.262,8.247,58.821,57.551,57.049,9728.195 ,57.030,1081.707 ,6025.314 ,14.268,53586.836 ,146775.797 ,788.640,9.470
52.181,86.552,4.456,8.842,8.488,7.523,7.704,61.881,55.972,56.233,9291.903 ,56.935,1117.624 ,5849.520 ,13.788,53293.540 ,153655.351 ,669.816,9.630
53.818,83.945,4.574,9.313,9.778,7.607,8.134,57.395,55.303,56.633,8890.066 ,56.977,1186.340 ,4892.922 ,14.160,52478.602 ,158417.420 ,689.195,10.109
52.777,87.060,3.864,9.108,10.013,8.604,8.353,62.441,58.457,57.649,9649.394 ,56.230,1100.034 ,5173.335 ,14.155,52733.337 ,149055.972 ,643.680,9.266
,,,,,,,,,,,,,,,,,,
